play,line,line lemmas,line type,RuSentiLex,EmoLex,LinisCrowd,ChenSkiena,ProductSentiRus,SentiRusColl,Eduard
griboyedov-gore-ot-uma,Светает!.. Ах! как скоро ночь минула!,светать ах как скоро ночь минуть,spoken,0,0,0,1,-1,0,0
griboyedov-gore-ot-uma,Вчера просилась спать — отказ.,вчера проситься спать отказ,spoken,-1,-1,0,0,-1,0,0
griboyedov-gore-ot-uma,«Ждем друга». — Нужен глаз да глаз,ждать друг нужный глаз да глаз,spoken,1,1,0,0,-1,0,0
griboyedov-gore-ot-uma,Не спи покудова не скатишься со стула.,не спать покудова не скатиться со стул,spoken,0,0,-1,1,-1,0,0
griboyedov-gore-ot-uma,Теперь вот только что вздремнула,теперь вот только что вздремнуть,spoken,0,1,0,0,0,0,0
griboyedov-gore-ot-uma,Уж день!.. сказать им...,уж день сказать они,spoken,0,0,0,0,-1,0,0
griboyedov-gore-ot-uma,Господа,господин,spoken,0,0,0,1,0,0,-1
griboyedov-gore-ot-uma,Эй! Софья Павловна беда.,эй софья павловна беда,spoken,-1,0,-1,-1,-1,0,-1
griboyedov-gore-ot-uma,Зашла беседа ваша за́ ночь.,зайти беседа ваш за ночь,spoken,0,0,0,0,-1,0,-1
griboyedov-gore-ot-uma,Вы глухи? — Алексей Степаныч!,вы глухой алексей степаныч,spoken,-1,-1,-1,-1,-1,0,-1
griboyedov-gore-ot-uma,Сударыня!... — И страх их не берет!,сударыня и страх их не брать,spoken,-1,-1,0,-1,-1,0,-1
griboyedov-gore-ot-uma,Ну гость неприглашенный,ну гость неприглашенный,spoken,0,0,0,1,0,0,-1
griboyedov-gore-ot-uma,Быть может батюшка войдет!,быть мочь батюшка входить,spoken,0,0,0,0,-1,0,-1
griboyedov-gore-ot-uma,Прошу служить у барышни влюбленной!,просить служить у барышня влюблять,spoken,0,0,-1,-1,0,0,-1
griboyedov-gore-ot-uma,Да расходитесь. Утро. — Что-с?,да расходиться утро что с,spoken,0,1,0,-1,0,0,0
griboyedov-gore-ot-uma,Который час?,который час,spoken,0,0,0,0,0,0,0
griboyedov-gore-ot-uma,Все в доме поднялось.,все в дом подниматься,spoken,0,0,1,0,-1,0,0
griboyedov-gore-ot-uma,Который час?,который час,spoken,0,0,0,0,0,0,0
griboyedov-gore-ot-uma,Седьмой осьмой девятый.,седьмой осьмой девятый,spoken,0,0,0,0,0,0,0
griboyedov-gore-ot-uma,Неправда.,неправда,spoken,-1,0,0,-1,-1,0,0
griboyedov-gore-ot-uma,Ах! амур проклятый!,ах амур проклятый,spoken,-1,-1,0,0,-1,0,-1
griboyedov-gore-ot-uma,И слышат не хотят понять,и слышать не хотеть понимать,spoken,1,0,0,1,-1,0,-1
griboyedov-gore-ot-uma,Ну что бы ставни им отнять?,ну что бы ставня они отнимать,spoken,0,0,0,1,0,0,-1
griboyedov-gore-ot-uma,Переведу часы хоть знаю: будет гонка,перевести часы хоть знать быть гонка,spoken,0,1,0,0,-1,0,-1
griboyedov-gore-ot-uma,Заставлю их играть.,заставлять они играть,spoken,0,0,0,-1,-1,0,-1
griboyedov-gore-ot-uma,Ах! барин!,ах барин,spoken,0,0,0,0,0,0,-1
griboyedov-gore-ot-uma,Барин да.,барин да,spoken,0,1,0,0,0,0,0
griboyedov-gore-ot-uma,Ведь экая шалунья ты девчонка.,ведь экий шалунья ты девчонка,spoken,1,0,0,0,0,0,0
griboyedov-gore-ot-uma,Не мог придумать я что это за беда!,не мочь придумывать я что это за беда,spoken,-1,0,-1,-1,-1,0,0
griboyedov-gore-ot-uma,"То флейта слышится то будто фортопьяно,",то флейта слышаться то будто фортопьяно,spoken,0,0,0,0,0,0,0
griboyedov-gore-ot-uma,Для Софьи слишком было б рано?..,для софья слишком быть б рано,spoken,0,0,0,0,-1,0,0
griboyedov-gore-ot-uma,Нет сударь я... лишь невзначай...,нет сударь я лишь невзначай,spoken,0,0,0,0,-1,0,0
griboyedov-gore-ot-uma,"Вот то-то невзначай за вами примечай,",вот то-то невзначай за вы примечать,spoken,0,0,0,0,-1,0,-1
griboyedov-gore-ot-uma,Так верно с умыслом.,так верно с умысел,spoken,0,0,-1,1,-1,0,-1
griboyedov-gore-ot-uma,Ох! зелье баловница.,ох зелье баловница,spoken,0,0,0,0,0,0,-1
griboyedov-gore-ot-uma,Вы баловник к лицу ль вам эти лица!,вы баловник к лицо ль вы этот лицо,spoken,0,0,-1,0,-1,0,-1
griboyedov-gore-ot-uma,Скромна а ничего кроме,скромный а ничто кроме,spoken,1,1,1,1,-1,0,-1
griboyedov-gore-ot-uma,Проказ и ветру на уме.,проказа и ветер на ум,spoken,0,0,0,1,0,0,-1
griboyedov-gore-ot-uma,Пустите ветренники сами,пускать ветренник сам,spoken,0,0,0,0,-1,0,-1
griboyedov-gore-ot-uma,Опомнитесь вы старики...,опоминаться вы старик,spoken,0,0,0,0,0,0,-1
griboyedov-gore-ot-uma,Почти.,почти,spoken,0,0,0,0,0,0,0
griboyedov-gore-ot-uma,Ну кто придет куда мы с вами?,ну кто прийти куда мы с вы,spoken,0,0,0,1,-1,0,0
griboyedov-gore-ot-uma,Кому сюда прийти?,кто сюда приходить,spoken,0,0,0,0,-1,0,0
griboyedov-gore-ot-uma,Ведь Софья спит?,ведь софья спать,spoken,0,0,0,1,-1,0,0
griboyedov-gore-ot-uma,Сейчас започивала.,сейчас започивать,spoken,0,0,0,0,0,0,0
griboyedov-gore-ot-uma,Сейчас! А ночь?,сейчас а ночь,spoken,0,0,0,0,0,0,-1
griboyedov-gore-ot-uma,Ночь целую читала.,ночь целый читать,spoken,0,0,0,0,-1,0,0
griboyedov-gore-ot-uma,Вишь прихоти какие завелись!,вишь прихоть какой заводиться,spoken,-1,0,0,0,0,0,-1
griboyedov-gore-ot-uma,Все по-французски вслух читает запершись.,весь по-французски вслух читать запираться,spoken,0,0,0,0,-1,0,0
griboyedov-gore-ot-uma,Скажи-ка что глаза ей портить не годится,сказать ка что глаз она портить не годиться,spoken,0,-1,-1,-1,0,0,0
griboyedov-gore-ot-uma,И в чтеньи прок-та не велик:,и в чтение прок тот не большой,spoken,1,1,0,0,-1,0,0
griboyedov-gore-ot-uma,Ей сна нет от французских книг,она сон нет от французский книга,spoken,0,0,0,0,0,0,0
griboyedov-gore-ot-uma,А мне от русских больно спится.,а я от русский больно спаться,spoken,0,-1,0,-1,0,0,0
griboyedov-gore-ot-uma,Что встанет доложусь,что вставать докладываться,spoken,0,0,0,0,-1,0,0
griboyedov-gore-ot-uma,"Извольте же идти, разбудите боюсь.",изволить же идти разбудить бояться,spoken,0,0,-1,-1,-1,0,0
griboyedov-gore-ot-uma,Чего будить? Сама часы заводишь,что будить сам часы заводить,spoken,0,0,0,0,-1,0,1
griboyedov-gore-ot-uma,На весь квартал симфонию гремишь.,на весь квартал симфония греметь,spoken,1,1,0,0,0,0,1
griboyedov-gore-ot-uma,Да полноте-с!,да полноте с,spoken,0,1,0,0,0,0,-1
griboyedov-gore-ot-uma,Помилуй как кричишь,помиловать как кричать,spoken,0,0,0,1,-1,0,-1
griboyedov-gore-ot-uma,С ума ты сходишь?,с ум ты сходить,spoken,1,1,0,0,-1,0,-1
